"","ID","Sektor","Total","Padat_Ditimbun_di_TPA","Padat_Ditimbun_Lubang","Padat_Kompos","Padat_3R","Padat_ins_sampah_domestik","Padat_ins_sampah_industri","Padat_dibakar_terbuka","Padat_tidak_terkelola","Cair_septic_tank","Cair_MCK_plus","Cair_IPAL_Aerob","Cair_IPAL_Anaerob","Cair_tidak_terkelola","Cair_Biogas","Cair_Pengolahan_KIMIA","Cair_3R"
"89",89,"Jalan Jembatan dan Pelabuhan ",9554.286857,6.60264075,0,0.3489684,0,0,0,15.2515053,14.76374265,8561.781072,0,0,11.420784,944.118144,0,0,0
"90",90,"Bangunan dan Instalasi Listrik, Gas, Air Minum, dan Komunikasi ",687.9818971,0.47544075,0,0.0251284,0,0,0,1.0982253,1.06310265,616.513872,0,0,0.822384,67.983744,0,0,0
"91",91,"Bangunan Lainnya ",2837.458519,1.9608705,0,0.1036376,0,0,0,4.5294342,4.3845771,2542.701408,0,0,3.391776,280.386816,0,0,0
"92",92,"Jasa Perdagangan ",39763.08889,27.47891025,0,1.4523388,0,0,0,63.4738071,61.44383355,35632.4723,0,0,47.531088,3929.236608,0,0,0
"93",93,"Jasa Perbengkelan ",543.0611788,0.375291,0,0.0198352,0,0,0,0.8668884,0.8391642,486.647616,0,0,0.649152,53.663232,0,0,0
"94",94,"Jasa Restoran ",259.7178546,2.9589273,0,0,0.532606914,0,0,1.18357092,1.242749466,0,0,0,177.66,76.14,0,0,0
"95",95,"Jasa Perhotelan ",2275.65,0,0,0,0,0,0,0,0,0,0,0,1592.955,682.695,0,0,0
"96",96,"Jasa Angkutan Jalan Raya ",589087.645,2955.08499,0,0,0,0,0,0,0,0,0,0,410292.792,175839.768,0,0,0
"97",97,"Jasa Angkutan Laut ",40834093.87,205.870852,0,0,0,0,0,0,0,0,0,0,28583721.6,12250166.4,0,0,0
"98",98,"Jasa Angkutan Udara ",426430.9844,594.685839,0,0,0,0,0,0,0,0,0,212918.1493,149042.7045,63875.44478,0,0,0
"99",99,"Jasa Penunjang Angkutan ",1203.938203,0.8320005,0,0.0439736,0,0,0,1.9218462,1.8603831,1078.872288,0,0,1.439136,118.968576,0,0,0
"100",100,"Jasa Komunikasi ",3357.992538,2.32059375,0,0.12265,0,0,0,5.3603625,5.18893125,3009.162,0,0,4.014,331.824,0,0,0
"101",101,"Bank ",9466.708002,6.542118,0,0.3457696,0,0,0,15.1117032,14.6284116,8483.299968,0,0,11.316096,935.463936,0,0,0
"102",102,"Lembaga Keuangan Lainnya ",3790.827235,2.619711,0,0.1384592,0,0,0,6.0512964,5.8577682,3397.033536,0,0,4.531392,374.595072,0,0,0
"103",103,"Asuransi dan Dana Pensiun ",755.9247775,0.52239375,0,0.02761,0,0,0,1.2066825,1.16809125,677.3988,0,0,0.9036,74.6976,0,0,0
"104",104,"Sewa Bangunan dan Sewa Tanah ",1013.722232,0.70054875,0,0.037026,0,0,0,1.6182045,1.56645225,908.41608,0,0,1.21176,100.17216,0,0,0
"105",105,"Jasa Perusahaan ",1022.034392,0.706293,0,0.0373296,0,0,0,1.6314732,1.5792966,915.864768,0,0,1.221696,100.993536,0,0,0
"106",106,"Jasa Pemerintahan Umum ",150513.8389,104.0149643,0,5.4974876,0,0,0,240.2651967,232.5812084,134878.3594,0,0,179.917776,14873.20282,0,0,0
"107",107,"Jasa Pendidikan ",2327.886916,1.608723,0,0.0850256,0,0,0,3.7160052,3.5971626,2086.064448,0,0,2.782656,230.032896,0,0,0
"108",108,"Jasa Kesehatan ",674.4896939,0.46611675,0,0.0246356,0,0,0,1.0766877,1.04225385,604.423248,0,0,0.806256,66.650496,0,0,0
"109",109,"Jasa Kemasyarakatan Lainnya ",152.8714809,0.10564425,0,0.0055836,0,0,0,0.2440287,0.23622435,136.991088,0,0,0.182736,15.106176,0,0,0
"110",110,"Jasa Hiburan, Rekreasi, dan Kebudayaan ",354.0498679,0.24467175,0,0.0129316,0,0,0,0.5651697,0.54709485,317.270928,0,0,0.423216,34.985856,0,0,0
"111",111,"Jasa Perorangan dan Rumah Tangga ",818.2057512,0.565434,0,0.0298848,0,0,0,1.3061016,1.2643308,733.209984,0,0,0.978048,80.851968,0,0,0
"112",112,"Barang dan Jasa yang Tidak Masuk Dimanapun ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
